news_title,news_date,news_content
Ẹ pa APC àti PDP tì kẹ́ẹ fa ọgbọ́n orí tuntun mọ́ra - Sowore tún ti ń fọhùn lórí òṣèlú,1 Èbibi 2022,"alatako, Peoples Democratic Party gbọ ninu idibo ọdun 2023.,Gbajugbaja ajafẹtọ yi ni eeyan ti orilẹede nilo bayii ni ẹni to ni imọ ati ọgbọn amulo tuntun to si koju osuwọn lati gba ijọba lọwọ aarẹ Muhammadu Buhari.,Nigba to n ba awọn oniroyin sọrọ ni papakọ ofurufu ilu Akure ni kete to balẹ si ipinlẹ Ondo lo tẹnu mọ ọ pe awọn to n ṣejọba lọwọ ti kuna lati ṣe daadaa pẹlu pẹlu gbogbo ileri ti wọn ti ṣe sẹyin.,O fi kun un pe iya ti jẹ awọn ọmọ Naijiria labẹ iṣejọba PDP ati APC to ni wọn ti wọn ti n mu ifasẹyin ba orilẹede lati ọdun mẹrindinlogun sẹyin. ,Gẹgẹ bo ṣe sọ, awọn ọmọ Naijiria paapaa julọ awọn ọdọ nilo lati pe awọn to n wa agbara oṣelu ṣaaju idibo ọdun to n bọ nija.,""Igba yii ni asiko to lati gbena woju awọn to wa ni ijọba ki a si gbe awọn to ni imọ tuntun wọle ti wọn lee yi itan orilẹede Naijiria pada.,Ati APC o, ati PDP o, wọn o tii ni oludije wọn o si ni layelaye ni oludije ti yoo jẹ itẹwọgba loju awọn ọmọ Naijiria. Opin ti de fun ẹgbẹ oṣelu mejeeji"".,Sowore ni asiko lati ṣe fun awọn eeyan ti de bayii ati pe asiko to yẹ ki orilẹede ṣiṣẹ fun awọn araalu ti de bayii.,""Awọn ẹgbẹ oṣelu mii tilẹ ti n lọ si oko igbagbe a o si ran wọn lọwọ lati ti wọn sinu ile ilẹ itan lai pẹ lai jina"".,Sowore ni fun awọn ara ipinlẹ Ondo ati awọn ti ko tii gbọ, ""emi Omoyele Sowore ni yoo jẹ aarẹ Naijiria to n bọ"".,Sowore ni inu oun dun bi awọn alatilẹyin rẹ atawọn ara ilu Kiribo ni agbegbe Ẹsẹ Odo ipinlẹ Ondo ṣe tu yaaya lade wa tori ti oun.,Sowore ṣapejuwe bi ijọba Naijiria ṣe ju u sẹwọn lẹyin ti ajọ ọtẹlẹmuyẹ DSS fi panpẹ ofin mu u gẹgẹ bii ""fifi akoko ṣofo"".,O fi kun un pe oun ti ni agbara ati igboya sii bayii ti wọn ti tu u silẹ lati lee rin kaakiri orilẹede to si ni oun yoo tẹsiwaju lati maa sọrọ lodi si irufin nilu. ,""Ifakoko ṣofo ni nitori ko si ẹni to lee doju ija kọ itan. Ko si ile ẹjọ to lee mu aridaju kan gboogi fi ran eeyan kan lọ si ẹwọn bẹẹ si ni orilẹede yii nilo idajọ ododo"".,Sowore ni pẹlu gbogbo bi ijọba ṣe n ba oun ja ti wọn n fi ọlọpaa gbe oun amọ lẹyin ọdun mẹta o ni wọn fi aridaju han pe oun ko jẹbi.,""Gbogbo awọn to gbe mi lọ si Abuja lati fi mi si ahamọ DSS l ti ri itiju gba bayi bẹẹ si ni wọn yoo to gbe agbara silẹ"".,O fi kun un wipe awọn ọdọ ti wọn ti wọn n ba ja naa ti ni igboya sii bayii."
"Minimum wage: Obaseki kéde sísan 40,000 owó oṣù òṣìṣẹ́ tó kéré jù láti ìparí oṣù yìí",1 Èbibi 2022,"Obaseki fi ọrọ naa lede nibi ayẹyẹ ayajọ ọjọ awọn oṣiṣẹ ti ọdun 2022 to waye ni olu ilu ipinlẹ naa Benin City.,Gomina Obaseki ṣalaye pe, ereedi ti ijọba rẹ ṣe fẹ san owo naa ni lati ṣe iwuri fun awọn oṣiṣẹ, paapaa julọ awọn lasiko yi ti nkan gbowo lori lọja.,Pẹlu ikede yi, owo oṣu to kere julọ ti Obaseki fi lelẹ yi ni eleyi ti o pọju lọ tawọn ijọba ipinlẹ n san ni Naijiria.,Bi a foju wo iye ti ijọba apapọ naa n san, o fẹ ẹ jọ pe owo yi ju ti ijọba apapọ Naijiria naa lọ.,Ṣaaju asiko yi, ẹgbẹrun lọna ọgbọn Naira ni owo oṣu to kere julọ ti ipinlẹ yi n san.,Ipinlẹ Eko labẹ akoso Gomina Babajide Sanwo-Olu lo n san owo oṣu oṣiṣẹ to kere julọ tii ṣe ẹgbẹrun marunlelọgbọn Naira.,toun ti pe wọn buwọlu adehun pẹlu ẹgbẹ oṣiṣẹ ati ijọba apapọ lati san owo naa.,Ipenija owo ṣou yi jẹ nkan to n ba awọn oṣiṣẹ finra.,Naijriia nikan si kọ ni irufẹ aroye lori owo oṣu ti n waye.,Lọni tii ṣe ayajọ oṣiṣẹ aarẹ orileede Kenya Uhuru Kenyatta naa kede pe oun yoo bẹrẹ si san alekun ida mejila ninu ida ọgọrun gẹgẹ bi alekun owo oṣiṣ to kere julọ., Awọn oṣiṣẹ to kede ọrọ yi fun ni o ṣee da ṣugbọn o kere si iye tawọn n beere nitori bi nkan ti ṣe wọn lọja.,Yatọ si Gomina Obaseki, a ko ti gbọ ki Gomina ipinlẹ Naijiria kankan kede alekun iye owo oṣu to kere julọ fawọn oṣiṣẹ wọn."
Building Collapses In Lagos: Àlàyé lẹ́nu ará àdúgbò níbi ilé alájà mẹ́ta dàwó l'Eko,2 Èbibi 2022,"Atẹjade ti ajọ naa fi sita lalẹ ana ti wọn si kọ si isalẹ ọrọ wọn pe eyi ni iye eeyan to kẹhin to ha sabẹ ile naa ti awọn n reti.,Awọn ti wọn ri yọ laaye jẹ ọkunrin mejilelogun ati obinrin kan gẹgẹ bi wọn ṣe sọ.,Awọn ti wọn ri yọ amọ to ti di oku jẹ ọkunrin mẹfa ati obinrin kan ti gbogbo eyi si kasẹ nilẹ ni nkan bii ago mẹrin kọja iṣẹju mẹẹdogun nirọlẹ ana.,Ọkan lara awọn olugbe agbegbe Ibadan ni Ebute Meta, ipinlẹ Eko ti ile naa ti wo ba BBC Yoruba sọrọ:,""Ko sẹni ti ko mọ pe ile yii ti kẹ́ra, a si ṣepade pẹlu awọn onile pe ki wọn da owo wa pada fun wa"".,Arakunrin naa ni nitoun, oun ti wa ile mii o ti ko jade kuro nibẹ nigba ti awọn onile kọ ti wọn ko da owo ti awọn beere fun pada.,Ẹlomiran da ẹbi iṣẹlẹ yii ru awọn abaniwale to jẹ wipe ere ori owo ile ti awọn fẹ gba ni wọn n le kiri ti wọn a si mu ẹni to n wa ile lọ ilekile ti wọn ba ri.,Ẹlomiran lara awọn to n gbe ninu ile alaja mẹta naa amọ ti ori ko oun ni tirẹ yọ to ribi sa jade pẹlu awọn mii naa sọrọ.,""Èmi, ọmọ mi, atawọn alabagbe mii la n gbe ni akasọ kini, nibẹ a si ni fulaati marun, emi ni mọlẹbi mẹta, arabinrin yii ni meji, ẹlomii ati ẹlomii naa ni meji meji amọ gbogbo wa ye e, a sa jade""., Bakan naa ni awọn ile ti fulaati akasọ Keji naa ni awọn mọlbi to n gbe nibẹ.,O ni awọn n reti ọmọdebinrin kekere kan ti wọn ko tii foju kan ati ọmọ arakunrin kan.,Nigba ti akọroyin bi wọn pe ṣe lootọ ni wọn ti paṣẹ fun wọn ṣaaju pe ki wọn ko kuro ni ile naa, arakunrin naa ni ko ri bẹẹ.,""Wọn mu iwe akiyesi wa fun wa latọdọ awọn onile pe ki a ma sanwo kọja oṣu kẹfa ọdun yii fun ""landlady"" tori pe ẹmi gigun ile yii yoo pari ninu oṣu kẹfa a si ẹpade ninu oṣu Keji."",O ni wọn ṣalaye fun awọn pe onile yoo gbe akoso ile ọhun fun awn abanikọle ti ijọba ipinlẹ Eko lẹyin oṣu Kẹfa ọhun.,Iroyin to kọkọ jade laarọ kutu ni pe eeyan meji ni wọn ri to ku ninu ile alaja mẹta kan to dawo lojule kẹrinlelogun, ni adugbo Ibadan, to wa ni Ebute-Meta, niluu Eko amọ o tun ti yipada bayii, o ti le sii.,Iroyin ni nnkan bii aagọ mẹwaa alẹ ọjọ Aiku ni ile naa dawo.,Awọn eeyan adugbo ọhun sọ fun awọn akọroyin pe ọpọ awọn eeyan lo wa ninu ile ọ̀hún lasiko to dawo.,Ninu atẹjade ti ọga agba ileeṣẹ to n ri si iṣẹlẹ pajawiri nipinlẹ Eko, LASEMA, Olufemi Damilola Oke-Osanyintolu fi ṣọwọ si BBC, o ni kete ti awọn gbọ nipa iṣẹlẹ naa lawọn oṣiṣẹ oun tẹkọ leti lọ sibẹ.,Oke-Osanyintolu ni ""Nigba ti a de ibi ti iṣẹlẹ naa ti waye, ile alaja mẹta kan to ni ọpọ yara lo dawo."",Iwadii wa fi jan pe iṣẹlẹ naa waye ni nnkan bii aago mọkanla alẹ amọ a ko le sọ iye eeyan to ha sabẹ ile naa."",""A yọ ogun eeyan jade labẹ ile ọhun laaye, amọ awọn meji farapa yanyana, asi ti gbe wọ lọ sile iwosan LASUTH fun itọju to peye."",Nigba to di nnkan bi aago meji kọja iṣẹju die ni orumọju ọjọ Aje ni LASEMA tun fi atẹjade mii ṣọwọ si BBC Yoruba lori ibi ti wọn ba isẹ de.,Inu atẹjade naa ni Oke-Osanyintolu ti sọ iye awọn ti wọn ti ri yọ labẹ ile naa atawọn to jade laye.,O ni ""Ibi ti a ba iṣẹ de ree lori ile to dawo ni Ebute-Meta."",""A ri okunrin mejilelogun ati obinrin kan yọ laaye."",""Bẹẹ naa ni a ti ri oku okunrin kan ati oku obinrin kan gbe jade ni aago meji kọja iṣẹju mẹwaa."",Oke-Osanyintolu pari ọrọ rẹ pe awọn agbofinro, to fi mọ awọn oṣiṣẹ adoola ẹmi bii LASBCA, NEMA ati Red Cross lo ti wa ni ikalẹ lati yọ awọn to ṣi wa labẹ ile naa."
Breast size: Wo àwọn nkan tó le fa ìdíwọ́ fún ìpèsè omi ọyàn,3 Èbibi 2022,"Àjọ WHO sọ pe fifun ọmọ ni ọyan jẹ ọkan lara ọna ti eeyan le gba jẹ ki ọmọ tuntun naa ni alaafia. ,Ṣùgbọ́n sa, ọpọlọpọ obinrin míì ma n sọ pe o nira fun wọn làti fun ọmọ ni ọyan. ,Eyi ko sẹ́yìn bi ọyan wọn ko ṣe ni omi daadaa eyi ti ọpọlọpọ Yoruba maa n ṣapejuwe pe ọyan wọn ko sẹ. ,Eyi si ma n mu ki wọn o fun ọmọ tuntun ni ounjẹ inu agolo. ,Gẹ́gẹ́ bi dokita ilera ọmọde nileewosan ikọsẹ iṣegun oyinbo LASUTH, Ọjọgbọn Chinyere Ezeaka, ṣe sọ, o ni ti obinrin ba ti wa ninu oyun fun oṣù marun-un, ni ọyan ti ma n bẹrẹ si ni omi. ,Ọjọgbọn Ezeaka sọ pe bi ọyan ṣe tobi tabi kere si ko ni ohunkohun lati ṣe pẹlu ipese omi. ,""Fifa omi jade ni ipenija. Ṣùgbọ́n lati bori eyi, obinrin gbọdọ fi ẹnu ọmọ si ọyan laarin wakati akọkọ to bímọ. ,"" Wọn si gbọdọ máa fun ọmọ naa ni ọyan ni wakati meji si mẹta léraléra laarin ọjọ́ mẹta àkọ́kọ́. ,Ọjọgbọn Ezeaka sọ pe eyi ni ọna kan gbòógì lati mu ki omi ọyan jade. ,Àmọ́ o, awọn obinrin míì tun ma n ni ipenija lẹ́yìn ti wọn ba ṣe bẹẹ. ,Onimọ ilera mii, Dokita Duke Onogagamue, sọ pe aarun HIV wa lara nkan to ma n fa a. ,O ni wọn ma n gba àwọn obinrin kan to ba ni ailera bi HIV, ni ìmọ̀ràn pe ki wọn o má fun ọmọ ni ọyan. ,Dokita Duke tun sọ pe obìnrin ti ko ba fun ọmọ rẹ ni ọyan ni wakati akọkọ, yoo ni ipenija lati fun ọmọ to ba ya. ,Ọjọgbọn Ezeaka sọ pe àwọn nkankan le mu ki obìnrin ma le fun ọmọ rẹ ni ọyan ni wakati akọkọ. ,Lara awọn nkan bẹẹ ni inira lasiko ìbímọ, isẹ abẹ lasiko ìbímọ, ati bẹẹ bẹẹ lọ. ,Jẹjẹrẹ ọyan naa le fa idiwọ fun fifun ọmọ ni ọyan. ,O tun ṣalaye pe ti ori ọyan obinrin ko ba yọ sita daadaa, o le ṣe idiwọ lati fun ọmọ ni ọyan. ,Ṣùgbọ́n ọna abayọ kiakia wa fun eyi, nipa fifi sirinji fa ori ọyan naa jade. ,Dokita Duke fi kun pe ṣíṣe isẹ abẹ fun ọyan naa le fa idiwọ. ,Àwọn dokita mejeeji ti akọroyin BBC, Faith Osoko, ba sọ̀rọ̀ fẹnu kò pe o ṣe pataki ki iyalọmọ wa ni ilera ọpọlọ to peye. ,Mimu ati jíjẹ awọn nkan olómi daadaa. ,Bákan naa ni iyalọmọ ko gbọdọ ṣe wahala, ki ọyan rẹ le ni omi."
Eid Mubarak: Àràmọ̀ǹdà àwòràn ìkíni ọdún Eid il Fitr òṣèré tíátà Yorùbá àti gbajúmọ̀ míràn rèé,2 Èbibi 2022,Jakejado Naijriia lawọn musulumi ti n ṣe ajọdun Eid il Fitr. Ko yọ awọn elere tiata ati gbajumọ mii silẹ.
news_title,news_date,news_content
Breast size: Wo àwọn nkan tó le fa ìdíwọ́ fún ìpèsè omi ọyàn,3 Èbibi 2022,"Àjọ WHO sọ pe fifun ọmọ ni ọyan jẹ ọkan lara ọna ti eeyan le gba jẹ ki ọmọ tuntun naa ni alaafia. ,Ṣùgbọ́n sa, ọpọlọpọ obinrin míì ma n sọ pe o nira fun wọn làti fun ọmọ ni ọyan. ,Eyi ko sẹ́yìn bi ọyan wọn ko ṣe ni omi daadaa eyi ti ọpọlọpọ Yoruba maa n ṣapejuwe pe ọyan wọn ko sẹ. ,Eyi si ma n mu ki wọn o fun ọmọ tuntun ni ounjẹ inu agolo. ,Gẹ́gẹ́ bi dokita ilera ọmọde nileewosan ikọsẹ iṣegun oyinbo LASUTH, Ọjọgbọn Chinyere Ezeaka, ṣe sọ, o ni ti obinrin ba ti wa ninu oyun fun oṣù marun-un, ni ọyan ti ma n bẹrẹ si ni omi. ,Ọjọgbọn Ezeaka sọ pe bi ọyan ṣe tobi tabi kere si ko ni ohunkohun lati ṣe pẹlu ipese omi. ,""Fifa omi jade ni ipenija. Ṣùgbọ́n lati bori eyi, obinrin gbọdọ fi ẹnu ọmọ si ọyan laarin wakati akọkọ to bímọ. ,"" Wọn si gbọdọ máa fun ọmọ naa ni ọyan ni wakati meji si mẹta léraléra laarin ọjọ́ mẹta àkọ́kọ́. ,Ọjọgbọn Ezeaka sọ pe eyi ni ọna kan gbòógì lati mu ki omi ọyan jade. ,Àmọ́ o, awọn obinrin míì tun ma n ni ipenija lẹ́yìn ti wọn ba ṣe bẹẹ. ,Onimọ ilera mii, Dokita Duke Onogagamue, sọ pe aarun HIV wa lara nkan to ma n fa a. ,O ni wọn ma n gba àwọn obinrin kan to ba ni ailera bi HIV, ni ìmọ̀ràn pe ki wọn o má fun ọmọ ni ọyan. ,Dokita Duke tun sọ pe obìnrin ti ko ba fun ọmọ rẹ ni ọyan ni wakati akọkọ, yoo ni ipenija lati fun ọmọ to ba ya. ,Ọjọgbọn Ezeaka sọ pe àwọn nkankan le mu ki obìnrin ma le fun ọmọ rẹ ni ọyan ni wakati akọkọ. ,Lara awọn nkan bẹẹ ni inira lasiko ìbímọ, isẹ abẹ lasiko ìbímọ, ati bẹẹ bẹẹ lọ. ,Jẹjẹrẹ ọyan naa le fa idiwọ fun fifun ọmọ ni ọyan. ,O tun ṣalaye pe ti ori ọyan obinrin ko ba yọ sita daadaa, o le ṣe idiwọ lati fun ọmọ ni ọyan. ,Ṣùgbọ́n ọna abayọ kiakia wa fun eyi, nipa fifi sirinji fa ori ọyan naa jade. ,Dokita Duke fi kun pe ṣíṣe isẹ abẹ fun ọyan naa le fa idiwọ. ,Àwọn dokita mejeeji ti akọroyin BBC, Faith Osoko, ba sọ̀rọ̀ fẹnu kò pe o ṣe pataki ki iyalọmọ wa ni ilera ọpọlọ to peye. ,Mimu ati jíjẹ awọn nkan olómi daadaa. ,Bákan naa ni iyalọmọ ko gbọdọ ṣe wahala, ki ọyan rẹ le ni omi."
Building Collapses In Lagos: Àlàyé lẹ́nu ará àdúgbò níbi ilé alájà mẹ́ta dàwó l'Eko,2 Èbibi 2022,"Atẹjade ti ajọ naa fi sita lalẹ ana ti wọn si kọ si isalẹ ọrọ wọn pe eyi ni iye eeyan to kẹhin to ha sabẹ ile naa ti awọn n reti.,Awọn ti wọn ri yọ laaye jẹ ọkunrin mejilelogun ati obinrin kan gẹgẹ bi wọn ṣe sọ.,Awọn ti wọn ri yọ amọ to ti di oku jẹ ọkunrin mẹfa ati obinrin kan ti gbogbo eyi si kasẹ nilẹ ni nkan bii ago mẹrin kọja iṣẹju mẹẹdogun nirọlẹ ana.,Ọkan lara awọn olugbe agbegbe Ibadan ni Ebute Meta, ipinlẹ Eko ti ile naa ti wo ba BBC Yoruba sọrọ:,""Ko sẹni ti ko mọ pe ile yii ti kẹ́ra, a si ṣepade pẹlu awọn onile pe ki wọn da owo wa pada fun wa"".,Arakunrin naa ni nitoun, oun ti wa ile mii o ti ko jade kuro nibẹ nigba ti awọn onile kọ ti wọn ko da owo ti awọn beere fun pada.,Ẹlomiran da ẹbi iṣẹlẹ yii ru awọn abaniwale to jẹ wipe ere ori owo ile ti awọn fẹ gba ni wọn n le kiri ti wọn a si mu ẹni to n wa ile lọ ilekile ti wọn ba ri.,Ẹlomiran lara awọn to n gbe ninu ile alaja mẹta naa amọ ti ori ko oun ni tirẹ yọ to ribi sa jade pẹlu awọn mii naa sọrọ.,""Èmi, ọmọ mi, atawọn alabagbe mii la n gbe ni akasọ kini, nibẹ a si ni fulaati marun, emi ni mọlẹbi mẹta, arabinrin yii ni meji, ẹlomii ati ẹlomii naa ni meji meji amọ gbogbo wa ye e, a sa jade""., Bakan naa ni awọn ile ti fulaati akasọ Keji naa ni awọn mọlbi to n gbe nibẹ.,O ni awọn n reti ọmọdebinrin kekere kan ti wọn ko tii foju kan ati ọmọ arakunrin kan.,Nigba ti akọroyin bi wọn pe ṣe lootọ ni wọn ti paṣẹ fun wọn ṣaaju pe ki wọn ko kuro ni ile naa, arakunrin naa ni ko ri bẹẹ.,""Wọn mu iwe akiyesi wa fun wa latọdọ awọn onile pe ki a ma sanwo kọja oṣu kẹfa ọdun yii fun ""landlady"" tori pe ẹmi gigun ile yii yoo pari ninu oṣu kẹfa a si ẹpade ninu oṣu Keji."",O ni wọn ṣalaye fun awọn pe onile yoo gbe akoso ile ọhun fun awn abanikọle ti ijọba ipinlẹ Eko lẹyin oṣu Kẹfa ọhun.,Iroyin to kọkọ jade laarọ kutu ni pe eeyan meji ni wọn ri to ku ninu ile alaja mẹta kan to dawo lojule kẹrinlelogun, ni adugbo Ibadan, to wa ni Ebute-Meta, niluu Eko amọ o tun ti yipada bayii, o ti le sii.,Iroyin ni nnkan bii aagọ mẹwaa alẹ ọjọ Aiku ni ile naa dawo.,Awọn eeyan adugbo ọhun sọ fun awọn akọroyin pe ọpọ awọn eeyan lo wa ninu ile ọ̀hún lasiko to dawo.,Ninu atẹjade ti ọga agba ileeṣẹ to n ri si iṣẹlẹ pajawiri nipinlẹ Eko, LASEMA, Olufemi Damilola Oke-Osanyintolu fi ṣọwọ si BBC, o ni kete ti awọn gbọ nipa iṣẹlẹ naa lawọn oṣiṣẹ oun tẹkọ leti lọ sibẹ.,Oke-Osanyintolu ni ""Nigba ti a de ibi ti iṣẹlẹ naa ti waye, ile alaja mẹta kan to ni ọpọ yara lo dawo."",Iwadii wa fi jan pe iṣẹlẹ naa waye ni nnkan bii aago mọkanla alẹ amọ a ko le sọ iye eeyan to ha sabẹ ile naa."",""A yọ ogun eeyan jade labẹ ile ọhun laaye, amọ awọn meji farapa yanyana, asi ti gbe wọ lọ sile iwosan LASUTH fun itọju to peye."",Nigba to di nnkan bi aago meji kọja iṣẹju die ni orumọju ọjọ Aje ni LASEMA tun fi atẹjade mii ṣọwọ si BBC Yoruba lori ibi ti wọn ba isẹ de.,Inu atẹjade naa ni Oke-Osanyintolu ti sọ iye awọn ti wọn ti ri yọ labẹ ile naa atawọn to jade laye.,O ni ""Ibi ti a ba iṣẹ de ree lori ile to dawo ni Ebute-Meta."",""A ri okunrin mejilelogun ati obinrin kan yọ laaye."",""Bẹẹ naa ni a ti ri oku okunrin kan ati oku obinrin kan gbe jade ni aago meji kọja iṣẹju mẹwaa."",Oke-Osanyintolu pari ọrọ rẹ pe awọn agbofinro, to fi mọ awọn oṣiṣẹ adoola ẹmi bii LASBCA, NEMA ati Red Cross lo ti wa ni ikalẹ lati yọ awọn to ṣi wa labẹ ile naa."
Antonio Guterres visit Nigeria: Bí àbẹ̀wò sí Naijiria rè yóò ṣe lọ nìyíi,3 Èbibi 2022,"Eyi ni igba ikẹta ti Ọga agba iṣọkan agbaye yio ṣabẹwo si iha Guusu Ilẹ Afrika, igba akọkọ si ni yii ti yoo wa si ilẹ Naijiria.,O wa si Naijiria ni asiko ti ohun gbogbo ko lọ deedee lorilẹede Naijiria paapaa eto oṣelu ati ni agbaye,ogun to n ṣẹlẹ ni Ukraine .,Lasiko abẹwo rẹ si Naijiria, yoo ṣe ipade pẹlu Aarẹ Buhari ati igbakeji rẹ, Yemi Osinbajo.,Bakan naa ni yoo ṣe ipade pẹlu awọn adari ẹsin, awọn obinrin ,awọn olori ọdọ ati awọn olori oṣiṣẹ iṣẹ adani .,Guterres yoo ṣabẹwo si gomina ipinlẹ Borno, Babangana Zulum,ni olu ilu ipinlẹ naa ni Maiduguri.,Nibẹ ni yoo ti ṣabẹwo si awọn mọlẹbi awọn eyan ti ikọ Boko Haram ti ṣe akọlu si nibẹ. ,Akọwe Ajọ Iṣọkan Agbaye yoo tun sabẹwo si awọn agbegbe ti oju ọjọ ti ko ṣe deedee ti ṣakoba fun.,Ipaya ti ohun ṣẹlẹ ni agbaye nitori ogun ilẹ Ukraine ati Russia. Ogun naa ti fa adinku ohun elo 'hydrocarbon' ati ọwọngogo epo (wheat) ni awọn orilẹede kan ni Ilẹ Afrika.,Ipaya ti o de ba awọn eniyan ni ki ọwọngogo ounjẹ ati iyan mase bẹ silẹ. ,Antonio Guterres ninu ọrọ rẹ¸ni 'ogun ti ohun ṣẹlẹ ni Ukraine ti fa ọwọngogo ounjẹ,ina ati owo.' ,Bakanna ni Ọga Ajọ UN naa yoo ṣabẹwo si ilẹ Senegal lati ṣe atuntọ iwe ofin ilẹ wọn. ,Orilẹede mẹta ni ilẹ Afrika ni awọn ologun ti  gbajọba.,Bakanna ni Naijiria,Chad,Niger ati Cameroon ni awọn agbebọn ati agbesunmọmi ti ṣọṣẹ, ti wọn si ti pa ọpọlọpọ awọn eniyan nibẹ.,Ọmọ orilẹede Naijiria,Aminat Ahmed ni igbakeji ọga patapata fun Antonio Guterres ni olu ileeṣẹ wọn ni New York, ni orilẹede Amẹrika."
Eid Mubarak: Àràmọ̀ǹdà àwòràn ìkíni ọdún Eid il Fitr òṣèré tíátà Yorùbá àti gbajúmọ̀ míràn rèé,2 Èbibi 2022,Jakejado Naijriia lawọn musulumi ti n ṣe ajọdun Eid il Fitr. Ko yọ awọn elere tiata ati gbajumọ mii silẹ.
Amotekun: Akeredolu àti PDP tahùn síra wọn lórì owó oṣù òṣìṣẹ́ l'Ondo,3 Èbibi 2022,"PDP ni o jẹ ohun ti ko ṣee gbọ seti pe ebi n pa awọn oṣiṣẹ ipinlẹ Ondo lasiko ti awọn ẹgbẹ lawọn ipinlẹ mii n gbadun ijọba wọn.,Ninu atẹjade kan loju opo Facebook rẹ ni agbẹnusọ ẹgbẹ oṣelu PDP, Kennedy Peretei ti fi ọrọ naa lede.,Gẹgẹ bii ohun to sọ, awọn oṣiṣẹ ijọba ipinlẹ Ondo wa lara awọn ti oju n pọn julọ ni Naijiria.,O ni igbesẹ naa ko ṣẹyin bi awọn ṣe n kan sara si gomina Rotimi Akeredolu lori iṣẹ takun-takun ti ikọ Amotekun n ṣe l'Ondo lati koju awọn ọdaran Fulani darandaran.,Peretei sọ pe ""Lẹta kan ti wọn tẹ jade nipa iye ti wọn yoo maa yọ ninu owo oṣu awọn oṣiṣẹ to wa ni oniruru ipele fi han pe gomina to wa lori alefa lọwọ yii ko kọbi ara si iya ti awọn eeyan ipinlẹ Ondo n jẹ."",""Ṣe ka sọ pe gomina ko ni owo ti yoo ya sọtọ si ẹka Amotekun ni abi ka kuku sọ pe o kan n wa ọna lati ko owo ilu sapo?"",""Bawo ni gomina ṣe n na owo ti ijọba apapọ fi ranṣẹ si loṣoṣu gẹgẹ bii owo ti wọn la kalẹ fun eto abo? ,""Abi ka kuku sọ pe awọn amugbalẹgbẹ rẹ lo n ṣi lọna lati tọwọ bọ owo oṣu awọn oṣiṣẹ?"",Peretei wa rọ Akeredolu lati tu ero rẹ pa, ko si bojuto bi yoo ṣe maa na owo ipinlẹ Ondo ki awọn oṣiṣẹ rẹ le kuro ninu oṣi.,Ẹwẹ, agbẹnusọ Akeredolu, Richard Olatunde ti sọ pe irọ to jina si ootọ ni atẹjade ẹgbẹ oṣelu PDP lori owo oṣu awọn oṣiṣẹ ọhun.,Ninu atẹjade kan to fi lede loju opo Facebook rẹ, Olatunde ni ẹgbẹ oṣelu PDP kan n mọọmọ parọ fun awọ araalu lati ba orukọ ijọba Akaeredolu jẹ ni.,O ni ""Gẹgẹ bii ọpọ eeyan ṣe mọ, onirọ ni PDP, iṣe wọn si ni lati maa pa irọ fun awọn araalu."",""Ijọba ipinlẹ Ondo ko ni erongba kankan lati yọ lara owo oṣu awọn eeyan ipinlẹ yii."" ,Lẹyin naa lo pe PDP nija lati mu lẹta ti wọn n sọ nipa rẹ jade, ninu eyii ti wọn ti ni ijọba ipinlẹ naa ti sọ pe oun yoo yọ lara owo oṣu awọn oṣiṣẹ."
